               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.026154,           0.0089277,           0.0011119,             0.74372,             0.85376,             0.85966,             0.46789,            0.036562,           0.0099657,           0.0048773,            0.003532,            0.003532,            0.003532
                 100,            0.027011,           0.0085991,           0.0013395,             0.74695,             0.85376,             0.85702,             0.46283,            0.035912,            0.010052,           0.0047646,            0.003466,            0.003466,            0.003466
                 101,            0.027416,           0.0090785,           0.0014471,             0.77629,             0.83836,             0.86212,             0.46766,            0.035925,            0.010004,           0.0044248,              0.0034,              0.0034,              0.0034
                 102,            0.025262,           0.0089735,          0.00098927,             0.79566,             0.84411,             0.84766,             0.46074,            0.036235,            0.010333,           0.0043324,            0.003334,            0.003334,            0.003334
                 103,            0.026542,           0.0090919,            0.001483,             0.79409,             0.82942,              0.8465,             0.45259,             0.03663,            0.010541,           0.0063837,            0.003268,            0.003268,            0.003268
                 104,            0.026613,           0.0086462,           0.0016311,             0.70262,             0.83763,             0.82449,             0.44657,            0.037316,            0.010287,           0.0091511,            0.003202,            0.003202,            0.003202
                 105,            0.026489,           0.0090267,           0.0014573,              0.8292,             0.75068,             0.82313,             0.43789,            0.036506,            0.010348,           0.0088043,            0.003136,            0.003136,            0.003136
                 106,            0.025656,           0.0087355,           0.0012555,             0.83571,             0.81095,             0.83859,             0.45147,            0.037154,            0.010107,            0.005501,             0.00307,             0.00307,             0.00307
                 107,            0.024494,           0.0086856,           0.0014481,             0.84352,             0.81541,              0.8486,             0.44572,            0.037087,            0.010093,            0.004909,            0.003004,            0.003004,            0.003004
                 108,            0.026163,           0.0091953,           0.0014317,             0.82061,             0.79427,             0.83442,             0.43114,            0.037572,            0.010299,           0.0067799,            0.002938,            0.002938,            0.002938
                 109,            0.025598,           0.0084514,           0.0014266,             0.77829,             0.82151,              0.8227,             0.43405,            0.036871,            0.010274,           0.0074154,            0.002872,            0.002872,            0.002872
                 110,             0.02485,            0.008214,           0.0014453,             0.79318,              0.8142,             0.84305,              0.4475,             0.03666,            0.010087,           0.0058498,            0.002806,            0.002806,            0.002806
                 111,            0.025405,           0.0079363,           0.0009506,             0.82257,             0.80059,             0.83799,             0.44653,            0.036505,            0.010041,           0.0058471,             0.00274,             0.00274,             0.00274
                 112,            0.024003,           0.0085109,           0.0010622,             0.80401,             0.79928,              0.8335,             0.45676,            0.035731,            0.010162,           0.0074865,            0.002674,            0.002674,            0.002674
                 113,            0.025569,           0.0086481,           0.0015034,             0.77968,             0.81039,             0.80905,             0.44229,            0.036045,            0.010119,            0.011092,            0.002608,            0.002608,            0.002608
                 114,            0.024914,           0.0092209,          0.00075255,             0.79896,             0.79928,             0.82848,             0.44436,            0.035989,             0.01032,            0.010345,            0.002542,            0.002542,            0.002542
                 115,            0.024698,           0.0083968,           0.0010781,             0.76164,             0.84846,             0.82967,             0.45076,             0.03574,           0.0099993,           0.0093401,            0.002476,            0.002476,            0.002476
                 116,             0.02363,            0.008433,           0.0012286,             0.80476,             0.81949,             0.83713,             0.45279,            0.036166,            0.010277,           0.0069494,             0.00241,             0.00241,             0.00241
                 117,            0.024206,             0.00836,           0.0013811,             0.74696,             0.86989,             0.83962,             0.44852,            0.036221,             0.01038,            0.007057,            0.002344,            0.002344,            0.002344
                 118,            0.024047,           0.0079866,           0.0011333,             0.79687,             0.81121,             0.83113,             0.44671,            0.036781,            0.010167,           0.0085787,            0.002278,            0.002278,            0.002278
                 119,            0.024447,           0.0078265,           0.0013283,             0.76072,             0.84478,             0.81665,             0.43845,             0.03627,             0.01034,           0.0093678,            0.002212,            0.002212,            0.002212
                 120,            0.024156,            0.008271,          0.00088042,             0.75302,             0.84265,             0.81153,              0.4359,            0.036803,            0.010426,            0.010188,            0.002146,            0.002146,            0.002146
                 121,            0.023537,           0.0083584,          0.00096459,             0.77648,             0.81478,             0.82879,             0.45693,            0.036413,            0.010443,            0.007111,             0.00208,             0.00208,             0.00208
                 122,            0.023957,           0.0084036,           0.0010621,             0.76914,             0.84265,             0.83927,             0.46107,            0.036486,            0.010508,           0.0071396,            0.002014,            0.002014,            0.002014
                 123,            0.022899,            0.008007,            0.001173,             0.79732,             0.82043,             0.85186,              0.4648,            0.036332,            0.010208,           0.0074778,            0.001948,            0.001948,            0.001948
                 124,            0.022942,           0.0082423,          0.00083612,             0.76195,             0.81541,             0.85553,             0.46292,            0.036728,            0.010155,           0.0061083,            0.001882,            0.001882,            0.001882
                 125,            0.023597,           0.0085233,           0.0011273,             0.75962,             0.83086,             0.85368,              0.4535,            0.037617,            0.010286,           0.0066985,            0.001816,            0.001816,            0.001816
                 126,            0.023952,            0.007851,            0.001488,             0.77544,             0.79928,             0.84308,              0.4475,            0.037104,            0.010406,           0.0086806,             0.00175,             0.00175,             0.00175
                 127,            0.023882,           0.0085039,           0.0011524,             0.74737,             0.82648,             0.84098,             0.44452,            0.036876,             0.01046,           0.0088349,            0.001684,            0.001684,            0.001684
                 128,            0.023591,           0.0084592,           0.0015867,             0.76465,             0.80927,              0.8563,             0.46575,            0.036127,            0.010123,            0.009002,            0.001618,            0.001618,            0.001618
                 129,              0.0231,           0.0079804,          0.00078811,              0.7489,             0.86334,             0.85691,             0.46089,            0.036788,             0.01025,           0.0093607,            0.001552,            0.001552,            0.001552
                 130,            0.023032,           0.0077781,            0.001083,             0.74741,             0.83763,             0.85975,             0.45938,            0.036313,            0.010153,           0.0096661,            0.001486,            0.001486,            0.001486
                 131,            0.023137,           0.0077347,          0.00080007,             0.78865,             0.77814,             0.85154,             0.46136,            0.035981,            0.010051,            0.010704,             0.00142,             0.00142,             0.00142
                 132,             0.02193,           0.0082245,          0.00094778,              0.7371,             0.83455,             0.85457,              0.4688,            0.036263,            0.010132,            0.010316,            0.001354,            0.001354,            0.001354
                 133,             0.02227,           0.0080535,          0.00083061,             0.78122,             0.82543,             0.86666,             0.46907,            0.035749,           0.0099499,           0.0087816,            0.001288,            0.001288,            0.001288
                 134,            0.023103,            0.008504,          0.00097228,             0.77578,             0.85389,             0.87291,             0.46209,            0.036253,           0.0099812,            0.007693,            0.001222,            0.001222,            0.001222
                 135,            0.022918,           0.0080491,          0.00065217,             0.77379,             0.85527,             0.86473,             0.46939,            0.035849,            0.010069,           0.0078909,            0.001156,            0.001156,            0.001156
                 136,            0.023145,           0.0080692,           0.0010419,             0.84872,              0.7436,             0.85487,             0.46663,            0.035877,            0.010199,           0.0099636,             0.00109,             0.00109,             0.00109
                 137,            0.022447,           0.0082413,            0.000738,             0.80424,             0.77204,              0.8449,             0.46208,            0.036017,            0.010055,            0.010857,            0.001024,            0.001024,            0.001024
